4,National Palace damaged,YES
5,Port-au-Prince air traffic control tower damaged - flights rerouted,NO
6,Eye-Witness Report from Hotel Oloffson,NO
7,Collapsed Building -- People Trapped,NO
8,Canape Vert road destroyed,NO
9,Your Haiti earthquake photos - Washington Post,NO
10,Photos haiti earthquake,NO
11,Haiti: Earthquake - Jan 2010 / SiRep,NO
12,Hotel Montana Collapsed,YES
13,Prisoners escaped from collapsed prison,NO
14,MSF Teams Set up Clinics to Treat Injured,NO
15,Karibe Hotel Collapsed,NO
16,Magnitude 7.0  2010 January 12 21:53:09 UTC,NO
17,Hospital Universitario De Haiti,YES
18,Hospital Frances,NO
19,Hospital du Canape Vert,YES
20,PAP Airport,NO
21,Ruined school,NO
22,Over 100 UN personnel trapped in collapsed HQ,NO
23,The National Palace  Before &amp After,NO
24,Earth quake SERIAL!,NO
25,Post-earthquake footage,NO
26,More photos and videos of earthquake aftermath,NO
27,Trapped in building,NO
28,Looking for the Dorce Family,NO
29,Found - James Colin  Alourdes Thomas Colin  Xavier &ampampamp Ashley Colin,NO
30,Parliament has collapsed,NO
31,The tax office has collapsed,NO
32,Looking for UN Member,NO
33,Buses between Les Cayes and PAP getting through,YES
34,Looking for 3 Americans,NO
35,Is Dr. Jean Pape of Gheskio okay?,NO
36,Survivor at Hope for Children Orphanage,NO
37,Looking for Joseph Guercia,NO
38,Found James Colin,NO
39,Looking for Marie Carmelle Charles,NO
40,Looking for Alexis/Loresca family in Tabarre,NO
42,Looking for the Gustave Family (Sabine  William  Naika  Gianni),NO
43,Looking for Pierre Eric Lamisere (Is diabetic),NO
44,LOOKING FOR ROSETAMA DESIRAL,NO
45,Looking for Mona Jean Phillipe  Joselin Dautruche and Lise Dautruche,NO
47,Looking for Roselene Eitiene  Nathalie Allien,NO
48,Border road down  Looting stared in P-au-P,NO
49,American Citizen broken leg - Please Help,NO
50,Looking for Info on Adam/Karen Buhler,NO
51,Looking for family,NO
52,Looking for Pierre Albert Maurice and family,NO
53,Looking for Kelly Baptiste,NO
54,looking for Delpe and Jean Family,NO
55,Marie Jeanine David Missing,NO
56,Looking for Dr. Max Paul,NO
57,Looking for Vladimir Rousseau,NO
58,Update - Found  family at Le Plaza Haiti hotel in Port-au-prince,NO
59,HAS ANYONE SEEN THESE PEOPLE?,NO
60,Looking for my father. American citizen,NO
61,HELP ME FIND MY SISTER NADIA CADET AND HER FAMILY,NO
62,H«Ôpital Albert Schweitzer Operational,YES
63,Missing Person: MINUSTAH @ Christophe Hotel - Mr. Hedi Annabi,NO
64,Looking for the following person,NO
65,Looking for: FOSAJ Sue Frame  Flo McGarrell  Zaka Claudel  Hermane (Bonga) Desmonde,NO
66,Looking for Frico Tanis,NO
67,Looking for Family,NO
68,Looking for the Laurole Family,NO
69,looking for fanfan  verdine  mesidor and gedeon family,NO
70,Looking for Eximene St Val,NO
71,Looking for Carlie Vatelia,NO
72,Lookign for Dr. James PLantin in Jacmel,NO
73,Looking for Dr Harry Eloi et famille,NO
74,Looking for Dr. James Plantin Boucard,NO
75,Road in Tapion passable but still dangerous,NO
